Trinity_ID	SA23	SA31	SA80	SA4_S2	SA5_S3	SA7_S6	SA9_S7	SA11_S9
TRINITY_DN6852_c0_g1_i4	1.4791161571498	0.981644023986011	1.91805409675719	-2.73018123301645	1.66220488789051	-2.73018123301645	-2.73018123301645	2.14952453326584
TRINITY_DN1495_c14_g1_i5	-0.558891207480541	-0.558891207480541	-0.558891207480541	0.156562919635176	-0.558891207480541	1.44146942120297	1.19642369656456	-0.558891207480541
TRINITY_DN5489_c0_g1_i8	-0.888755539045803	-0.888755539045803	-0.888755539045803	0.592543402501762	-0.888755539045803	2.23689556261572	1.61433873011154	-0.888755539045803
TRINITY_DN409_c0_g1_i6	0.455785931327634	1.98088991040025	-0.238324183876776	-1.46298191799751	1.12125905480618	-1.46298191799751	-1.46298191799751	1.06933504133525
TRINITY_DN7944_c0_g1_i2	-0.708692367015648	-0.708692367015648	-0.708692367015648	1.36786672811596	-0.708692367015648	0.788025620919529	1.38756948604276	-0.708692367015648
TRINITY_DN5870_c1_g1_i5	-0.912985375840256	-0.912985375840256	-0.912985375840256	2.54198009779446	-0.912985375840256	0.457736899307912	1.56520988209891	-0.912985375840256
TRINITY_DN84_c0_g1_i7	-1.10333446050919	-1.10333446050919	-1.10333446050919	2.07219014058069	-1.10333446050919	1.17583964797986	2.2686425139854	-1.10333446050919
TRINITY_DN815_c0_g1_i21	-0.561373259815613	-0.561373259815613	-0.561373259815613	1.26766442885352	-0.561373259815613	0.863011411722483	0.676190458502062	-0.561373259815613
TRINITY_DN4126_c0_g1_i1	-1.53295471718292	-1.52719544789423	-1.53295471718292	4.41033370958376	-1.53295471718292	4.08119560608395	-0.832514999041824	-1.53295471718292
TRINITY_DN8023_c0_g1_i3	-1.55846938750123	-1.55846938750123	-1.55846938750123	2.27249574973902	-1.55846938750123	2.88738971570576	2.63246147206138	-1.55846938750123
TRINITY_DN6774_c0_g1_i17	-0.600789127481774	-0.600789127481774	-0.600789127481774	1.30725516274311	-0.600789127481774	0.569776929310294	1.12691354535546	-0.600789127481774
TRINITY_DN8003_c0_g1_i3	-0.790060732798982	-0.790060732798982	-0.790060732798982	1.8106847651631	-0.790060732798982	0.219286439460271	1.92033245937153	-0.790060732798982
TRINITY_DN4018_c0_g1_i2	1.0128086617279	0.79170560820578	1.9961586690502	-2.73361160404867	1.33023643933338	-2.73361160404867	-2.73361160404867	3.06992543382875
TRINITY_DN7887_c1_g1_i17	-0.642454978134668	-0.642454978134668	-0.642454978134668	1.10858019853319	-0.642454978134668	1.88936312398673	0.214331568153413	-0.642454978134668
TRINITY_DN7944_c0_g1_i12	-0.430420010752976	-0.430420010752976	-0.430420010752976	0.986419731159853	-0.430420010752976	0.212050526562845	0.953629796042184	-0.430420010752976
