Trinity_ID	SA16	SA32	SA39	SA26	SA50	SA52	SA42	SA68	SA97	SA4_S1	SA5_S4	SA7_S5	SA9_S8	SA11_S12
TRINITY_DN19691_c0_g1_i12	-0.228987783216123	-0.228987783216123	-0.228987783216123	-0.228987783216123	-0.228987783216123	-0.228987783216123	0.361733986793718	0.515173312354287	0.879369394874295	0.107866855909342	-0.228987783216123	-0.022344559232728	-0.00989672496992661	-0.228987783216123
TRINITY_DN39_c0_g1_i6	-0.375577352581235	-0.375577352581235	-0.375577352581235	-0.375577352581235	-0.375577352581235	-0.375577352581235	0.252029485548415	0.957273769490919	0.0249605770024935	0.716630085515853	-0.375577352581235	-0.375577352581235	1.42930225567344	-0.375577352581235
TRINITY_DN3985_c0_g1_i1	-1.21496911370907	-1.21496911370907	-1.21496911370907	-1.21496911370907	-1.21496911370907	-1.21496911370907	-1.21496911370907	0.893722602363341	1.41263772442058	2.37119513222184	-1.21496911370907	3.03864203823809	3.21852452613781	-1.21496911370907
TRINITY_DN7715_c0_g1_i1	-1.59313389038607	-1.59313389038607	-1.59313389038607	-1.59313389038607	-1.59313389038607	-1.59313389038607	-1.59313389038607	1.12736348009627	2.88648471808334	2.84821678714917	-1.59313389038607	3.25826536437755	4.21787466376831	-1.59313389038607
TRINITY_DN16749_c0_g1_i3	-1.16953108601565	-1.16953108601565	-1.16953108601565	-1.16953108601565	-1.16953108601565	-1.16953108601565	2.93547643874532	0.522003078903546	0.438805064332007	2.23822953254666	-1.16953108601565	2.07976254414509	1.14197202945262	-1.16953108601565
TRINITY_DN3252_c0_g1_i11	-1.54211111685764	-1.54211111685764	-1.54211111685764	-1.54211111685764	-1.54211111685764	-1.54211111685764	2.15466171931945	0.236518009037924	2.96929366712759	3.45301155224598	-1.54211111685764	-1.54211111685764	5.06551510398784	-1.54211111685764
TRINITY_DN9110_c0_g1_i18	1.55760345402789	2.96994095233701	0.279261019502826	0.545917706377231	-0.470306331136885	-0.804897349947286	-1.01528621439269	-1.01528621439269	-1.01528621439269	-1.01528621439269	0.396140031333776	-1.01528621439269	-0.996652040253638	1.59942362972252
TRINITY_DN6335_c0_g1_i13	-1.03554785746263	-1.03554785746263	-1.03554785746263	-1.03554785746263	-1.03554785746263	-1.03554785746263	3.41572920463558	2.31833997882228	-1.03554785746263	1.64094523637915	-1.03554785746263	0.826010562109401	1.11890573521725	-1.03554785746263
TRINITY_DN39_c0_g1_i7	-0.61737551895453	-0.61737551895453	-0.61737551895453	-0.61737551895453	-0.61737551895453	-0.61737551895453	0.755576578957299	1.39626539171486	-0.0694322076641793	1.05889188931136	-0.61737551895453	-0.61737551895453	2.41507801827143	-0.61737551895453
TRINITY_DN1952_c0_g1_i7	-1.23832298899547	1.85354606630638	1.27390389751848	1.4216015694069	1.18874676621531	1.51805986612429	-1.23832298899547	-1.23832298899547	-1.23832298899547	-1.23832298899547	0.219533921418296	-1.23688101482157	-1.23832298899547	1.19142686180474
TRINITY_DN4102_c0_g1_i109	-0.466069813842149	-0.443169411732071	-0.440332252428541	-0.466069813842149	-0.466069813842149	-0.464627839668243	1.4148115833955	1.54542582499568	-0.229730274673776	1.42340372868896	-0.466069813842149	-0.234637405394184	-0.24079488397258	-0.466069813842149
TRINITY_DN2096_c1_g1_i2	-0.774937860555378	-0.774937860555378	-0.774937860555378	-0.774937860555378	-0.774937860555378	-0.774937860555378	0.4735969755833	0.961450540148082	-0.774937860555378	1.26840664432179	-0.774937860555378	1.85546761092695	2.41551897401829	-0.774937860555378
