Trinity_ID	SA11_S9	SA23	SA31	SA4_S2	SA5_S3	SA7_S6	SA80	SA9_S7
TRINITY_DN1746_c11_g1_i2	1.34626609132063	2.26090341353847	1.60758909132982	-2.91239317184298	1.58539674103539	-2.00580716718691	1.68944934484672	-3.57140434304113
TRINITY_DN19543_c0_g1_i1	-1.27069428335886	-2.41478193496199	-1.34641516099773	1.60143964939556	-0.168170301351288	1.71786320418667	-1.27482834037569	3.15558716746333
TRINITY_DN6613_c2_g1_i9	-0.28140102706822	-0.333816921219358	-0.333816921219358	0.533288808283296	-0.333816921219358	0.856481870407236	-0.333816921219358	0.226898033255121
TRINITY_DN7022_c0_g1_i18	0.846281983480017	0.685121216523468	0.138594181836057	-1.28793895628062	1.36029637349302	-1.08004610463928	0.49865740561019	-1.16096610002285
TRINITY_DN4768_c0_g1_i11	1.48967529924127	1.48337880610043	1.19027883527583	-2.2703326875908	1.35142616911893	-2.2703326875908	1.29623895303596	-2.2703326875908
TRINITY_DN4768_c0_g1_i13	-1.30533890349854	-1.30533890349854	-1.30533890349854	2.30559733691962	-1.30533890349854	2.28657982587714	-1.30533890349854	1.93451735469594
TRINITY_DN10801_c0_g1_i1	-1.32773937543958	-1.32773937543958	-1.32773937543958	1.64642279235701	-1.32773937543958	1.94129377101565	-1.32773937543958	3.05098031382526
TRINITY_DN9181_c0_g1_i10	-1.08941084436841	-0.955923815188296	-0.956844194830925	3.33594829107169	-0.565209609733448	0.304731741338267	-1.3693848855641	1.29609331727521
TRINITY_DN10110_c0_g1_i25	-0.280581637519116	-0.280581637519116	-0.280581637519116	1.0636787574663	-0.280581637519116	0.392069991809268	-0.280581637519116	-0.0528405616799883
TRINITY_DN8891_c1_g1_i8	0.998861167719689	1.03262193741429	0.810621268897294	-1.30394227208875	0.585115468023434	-1.18375358919441	0.996653523768037	-1.93617750453958
TRINITY_DN5644_c0_g1_i12	-0.888938206434359	-0.888938206434359	-0.888938206434359	0.870643766799196	-0.888938206434359	1.12541708654271	-0.888938206434359	2.44863017882989
TRINITY_DN1682_c0_g1_i21	1.25856484296913	1.73318145466338	1.49559232480529	-2.21615409676405	0.641085673651178	-2.22621778010874	1.54016536089255	-2.22621778010874
TRINITY_DN10206_c0_g1_i1	-0.0876759279102459	0.819264526696425	1.03073237097146	-1.03552907129726	0.335750982725391	-1.03552907129726	1.00851526140876	-1.03552907129726
TRINITY_DN342_c0_g1_i9	0.0525284252819919	0.823166449130702	0.884015009812494	-0.678654816290208	0.266952886891164	-0.678654816290208	0.00930167775427349	-0.678654816290208
TRINITY_DN29933_c0_g1_i6	2.21593844472947	2.34271246386679	0.555406832464128	-3.00006814515795	2.32353697555919	-2.40741125264679	1.36101711467421	-3.39113243348906
TRINITY_DN6826_c0_g1_i10	1.43021240771111	0.0626741751986162	-0.306467475979679	-1.32082276895675	1.71919290989113	-1.32082276895675	1.05685629004907	-1.32082276895675
TRINITY_DN145_c0_g1_i7	-0.435066023466213	-0.435066023466213	-0.435066023466213	1.04571610093777	-0.435066023466213	0.226683576344492	-0.435066023466213	0.902930440048803
TRINITY_DN8716_c0_g1_i50	-0.574395286551535	-0.574395286551535	-0.574395286551535	1.43853088789273	-0.574395286551535	-0.330726205584673	-0.574395286551535	1.76417175044962
TRINITY_DN694_c0_g1_i42	-1.1240115433069	-1.21962593785674	-1.22968962120144	1.45108480429102	-1.22680711266832	0.844815815162192	-1.22968962120144	3.73392321678162
TRINITY_DN122_c0_g1_i3	-0.466162195323956	-0.466162195323956	-0.466162195323956	1.17260674909299	-0.466162195323956	0.528779514853015	-0.466162195323956	0.629424712673768
